Data,Produto,Categoria,Preço,Quantidade,Desconto,Total_Venda,Idade,Renda
2023-01-02,Iogurte,Laticínios e Ovos,45.81,17,0.0,778.77,34,1795.48
2023-01-02,Manteiga,Laticínios e Ovos,8.85,4,0.0,35.4,56,3687.38
2023-01-02,Ovos,Laticínios e Ovos,2.0,3,0.0,6.0,49,2230.83
2023-01-02,Refrigerantes,Bebidas,40.39,10,0.0,403.9,68,2383.33
2023-01-02,Sucos,Bebidas,35.41,16,0.0,566.56,71,1616.58
2023-01-02,Água mineral,Bebidas,2.91,1,0.0,2.91,64,2825.29
2023-01-02,Cervejas,Bebidas,39.38,12,0.0,472.56000000000006,38,1173.16
2023-01-02,Vinhos,Bebidas,43.86,19,0.0,833.34,50,2655.52
2023-01-02,Detergentes,Produtos de Limpeza,14.84,4,0.0,59.36,68,1218.52
2023-01-02,Sabão em pó,Produtos de Limpeza,43.56,1,0.0,43.56,48,2300.04
2023-01-02,Amaciantes,Produtos de Limpeza,5.76,6,0.0,34.56,41,2287.46
2023-01-02,Limpadores multiuso,Produtos de Limpeza,5.16,6,0.0,30.96,38,4584.87
2023-01-02,Esponjas,Produtos de Limpeza,27.42,7,0.0,191.94,21,4191.83
2023-01-02,Shampoos,Produtos de Higiene Pessoal,2.46,4,0.0,9.84,54,4481.62
2023-01-02,Sabonetes,Produtos de Higiene Pessoal,7.71,11,0.0,84.81,63,1773.86
2023-01-02,Creme dental,Produtos de Higiene Pessoal,23.09,5,0.0,115.45,39,3504.05
2023-01-02,Desodorantes,Produtos de Higiene Pessoal,20.36,6,0.0,122.16,37,1259.7
2023-01-02,Papel higiênico,Produtos de Higiene Pessoal,8.45,17,0.0,143.64999999999998,69,1044.16
2023-01-02,Sorvetes,Congelados,23.72,9,0.0,213.48,44,1186.74
2023-01-02,Pizzas congeladas,Congelados,48.75,5,0.0,243.75,59,3659.84
2023-01-02,Vegetais congelados,Congelados,36.57,10,0.0,365.7,60,1686.93
2023-01-02,Pratos prontos congelados,Congelados,42.0,15,0.0,630.0,68,4196.65
2023-01-02,Frango empanado,Congelados,22.25,3,0.0,66.75,65,4109.9
2023-01-02,Ração para cães,Pet Shop,9.91,14,0.0,138.74,48,3321.08
2023-01-02,Ração para gatos,Pet Shop,8.88,2,0.0,17.76,46,2884.13
2023-01-02,Petiscos,Pet Shop,36.11,16,0.0,577.76,31,1789.0
2023-01-02,Brinquedos para pets,Pet Shop,47.91,8,0.0,383.28,28,4367.09
2023-01-02,Produtos de higiene para pets,Pet Shop,38.03,7,0.0,266.21000000000004,40,2802.91
2023-01-02,Panelas,Utilidades Domésticas,46.45,1,0.0,46.45,39,3066.57
2023-01-02,Talheres,Utilidades Domésticas,12.78,2,0.0,25.56,60,4354.89
2023-01-02,Copos,Utilidades Domésticas,18.72,17,0.0,318.24,31,4886.17
2023-01-02,"Produtos descartáveis (pratos, copos, talheres)",Utilidades Domésticas,44.09,7,0.0,308.63,50,4331.76
2023-01-03,Maçãs,Alimentos Frescos,17.59,4,0.0,70.36,18,3797.68
2023-01-03,Bananas,Alimentos Frescos,18.52,11,0.0,203.72,67,4482.49
2023-01-03,Laranjas,Alimentos Frescos,12.6,7,0.0,88.2,41,2157.4
2023-01-03,Tomates,Alimentos Frescos,30.32,2,0.0,60.64,53,3779.03
2023-01-03,Alface,Alimentos Frescos,22.91,13,0.0,297.83,24,1139.01
2023-01-03,Cenouras,Alimentos Frescos,36.05,5,0.0,180.25,39,4290.01
2023-01-03,Frango,Alimentos Frescos,22.19,6,0.0,133.14000000000001,66,2043.34
2023-01-03,Carne bovina,Alimentos Frescos,27.0,4,0.0,108.0,55,1465.39
2023-01-03,Carne suína,Alimentos Frescos,17.14,7,0.0,119.98,74,3742.2
2023-01-03,Salmão,Alimentos Frescos,26.25,12,0.0,315.0,37,2271.35
2023-01-03,Tilápia,Alimentos Frescos,42.91,12,0.0,514.92,53,2324.84
2023-01-03,Atum,Alimentos Frescos,18.08,19,0.0,343.52,39,3256.08
2023-01-03,Pão francês,Alimentos Frescos,41.32,10,0.0,413.2,26,3219.61
2023-01-03,Pão integral,Alimentos Frescos,11.17,8,0.0,89.36,59,1216.6
2023-01-03,Croissants,Alimentos Frescos,33.27,10,0.0,332.70000000000005,45,3009.48
2023-01-03,Arroz,Produtos de Mercearia,43.01,7,0.0,301.07,21,1105.16
2023-01-03,Feijão,Produtos de Mercearia,29.22,3,0.0,87.66,46,2294.74
2023-01-03,Macarrão,Produtos de Mercearia,18.8,9,0.0,169.20000000000002,37,3401.84
2023-01-03,Óleo,Produtos de Mercearia,26.94,16,0.0,431.04,23,4555.54
2023-01-03,Azeite,Produtos de Mercearia,33.11,5,0.0,165.55,43,4062.69
2023-01-03,Farinha,Produtos de Mercearia,33.57,15,0.0,503.55,18,3057.74
2023-01-03,Leite,Laticínios e Ovos,47.65,2,0.0,95.3,73,1145.12
2023-01-03,Queijo,Laticínios e Ovos,28.59,1,0.0,28.59,72,4519.17
2023-01-03,Iogurte,Laticínios e Ovos,7.56,19,0.0,143.64,54,3182.99
2023-01-03,Manteiga,Laticínios e Ovos,47.88,9,0.0,430.92,67,2176.09
2023-01-03,Ovos,Laticínios e Ovos,30.25,12,0.0,363.0,70,4793.88
2023-01-03,Refrigerantes,Bebidas,29.07,12,0.0,348.84000000000003,60,4300.12
2023-01-03,Sucos,Bebidas,26.0,12,0.0,312.0,54,2043.35
2023-01-03,Água mineral,Bebidas,47.24,12,0.0,566.88,57,2603.13
2023-01-03,Cervejas,Bebidas,5.51,9,0.0,49.589999999999996,43,2982.92
2023-01-03,Vinhos,Bebidas,28.16,6,0.0,168.96,44,1492.13
2023-01-03,Detergentes,Produtos de Limpeza,5.17,9,0.0,46.53,38,1564.15
2023-01-03,Sabão em pó,Produtos de Limpeza,13.65,4,0.0,54.6,35,3136.64
2023-01-03,Amaciantes,Produtos de Limpeza,23.6,8,0.0,188.8,60,2258.94
2023-01-03,Limpadores multiuso,Produtos de Limpeza,12.51,8,0.0,100.08,44,1356.16
2023-01-03,Esponjas,Produtos de Limpeza,29.27,7,0.0,204.89,67,1031.91
2023-01-03,Shampoos,Produtos de Higiene Pessoal,40.66,7,0.0,284.62,74,4448.62
2023-01-03,Sabonetes,Produtos de Higiene Pessoal,1.04,18,0.0,18.72,29,3146.77
2023-01-03,Creme dental,Produtos de Higiene Pessoal,27.56,11,0.0,303.15999999999997,41,3658.74
2023-01-03,Desodorantes,Produtos de Higiene Pessoal,28.57,11,0.0,314.27,24,3412.88
2023-01-03,Papel higiênico,Produtos de Higiene Pessoal,39.04,12,0.0,468.48,28,1347.34
2023-01-03,Sorvetes,Congelados,19.43,10,0.0,194.3,48,2991.34
2023-01-03,Pizzas congeladas,Congelados,38.09,6,0.0,228.54000000000002,73,3915.96
2023-01-03,Vegetais congelados,Congelados,27.97,14,0.0,391.58,50,2993.64
2023-01-03,Pratos prontos congelados,Congelados,9.59,15,0.0,143.85,19,2574.45
2023-01-03,Frango empanado,Congelados,1.81,16,0.0,28.96,72,2576.97
2023-01-03,Ração para cães,Pet Shop,36.69,16,0.0,587.04,18,4428.27
2023-01-03,Ração para gatos,Pet Shop,33.92,16,0.0,542.72,19,1652.12
2023-01-03,Petiscos,Pet Shop,15.09,14,0.0,211.26,64,1512.04
2023-01-03,Brinquedos para pets,Pet Shop,20.26,17,0.0,344.42,57,3208.79
2023-01-03,Produtos de higiene para pets,Pet Shop,3.45,3,0.0,10.350000000000001,24,2434.16
2023-01-03,Panelas,Utilidades Domésticas,8.93,9,0.0,80.37,68,3844.43
2023-01-03,Talheres,Utilidades Domésticas,39.02,7,0.0,273.14000000000004,67,1050.07
2023-01-03,Copos,Utilidades Domésticas,1.88,11,0.0,20.68,69,2577.8
2023-01-03,"Produtos descartáveis (pratos, copos, talheres)",Utilidades Domésticas,43.66,15,0.0,654.9,42,3556.58
2023-01-04,Maçãs,Alimentos Frescos,15.18,16,0.0,242.88,65,2403.01
2023-01-04,Bananas,Alimentos Frescos,36.52,8,0.0,292.16,41,3989.18
2023-01-04,Laranjas,Alimentos Frescos,49.41,15,0.0,741.15,35,3174.21
2023-01-04,Tomates,Alimentos Frescos,49.83,18,0.0,896.9399999999999,54,1621.81
2023-01-04,Alface,Alimentos Frescos,30.85,18,0.0,555.3000000000001,55,2459.55
2023-01-04,Cenouras,Alimentos Frescos,7.4,11,0.0,81.4,28,1875.8
2023-01-04,Frango,Alimentos Frescos,43.58,16,0.0,697.28,42,1122.25
2023-01-04,Carne bovina,Alimentos Frescos,27.97,7,0.0,195.79,69,1409.43
2023-01-04,Carne suína,Alimentos Frescos,11.54,2,0.0,23.08,28,2780.97
2023-01-04,Salmão,Alimentos Frescos,22.77,9,0.0,204.93,28,1799.6
2023-01-04,Tilápia,Alimentos Frescos,18.33,5,0.0,91.64999999999999,41,2795.53
2023-01-04,Atum,Alimentos Frescos,36.8,14,0.0,515.1999999999999,48,1889.66
2023-01-04,Pão francês,Alimentos Frescos,13.86,4,0.0,55.44,47,1477.67
2023-01-04,Pão integral,Alimentos Frescos,29.91,1,0.0,29.91,39,4215.51
2023-01-04,Croissants,Alimentos Frescos,39.45,1,0.0,39.45,35,2657.57
2023-01-04,Arroz,Produtos de Mercearia,18.05,10,0.0,180.5,50,4302.57
2023-01-04,Feijão,Produtos de Mercearia,32.64,13,0.0,424.32,58,1128.67
2023-01-04,Macarrão,Produtos de Mercearia,34.63,16,0.0,554.08,42,3204.85
2023-01-04,Óleo,Produtos de Mercearia,7.76,15,0.0,116.39999999999999,59,2068.76
2023-01-04,Azeite,Produtos de Mercearia,11.94,2,0.0,23.88,56,2389.77
2023-01-04,Farinha,Produtos de Mercearia,20.72,9,0.0,186.48,42,1182.37
2023-01-04,Leite,Laticínios e Ovos,3.01,11,0.0,33.11,42,1737.67
2023-01-04,Queijo,Laticínios e Ovos,9.47,7,0.0,66.29,36,4856.67
2023-01-04,Iogurte,Laticínios e Ovos,26.81,14,0.0,375.34,44,4218.05
2023-01-04,Manteiga,Laticínios e Ovos,38.25,6,0.0,229.5,69,3431.96
2023-01-04,Ovos,Laticínios e Ovos,6.7,11,0.0,73.7,41,4082.77
2023-01-04,Refrigerantes,Bebidas,13.8,4,0.0,55.2,73,3274.95
2023-01-04,Sucos,Bebidas,33.08,14,0.0,463.12,55,2590.96
2023-01-04,Água mineral,Bebidas,39.55,9,0.0,355.95,40,3983.84
2023-01-04,Cervejas,Bebidas,10.13,1,0.0,10.13,46,2596.45
2023-01-04,Vinhos,Bebidas,20.72,8,0.0,165.76,34,1809.83
2023-01-04,Detergentes,Produtos de Limpeza,5.39,5,0.0,26.95,25,3449.41
2023-01-04,Sabão em pó,Produtos de Limpeza,46.78,10,0.0,467.8,52,1792.5
2023-01-04,Amaciantes,Produtos de Limpeza,49.61,18,0.0,892.98,32,2721.57
2023-01-04,Limpadores multiuso,Produtos de Limpeza,21.04,16,0.0,336.64,51,1852.42
2023-01-04,Esponjas,Produtos de Limpeza,27.16,17,0.0,461.72,71,1087.59
2023-01-04,Shampoos,Produtos de Higiene Pessoal,44.93,3,0.0,134.79,72,3277.92
2023-01-04,Sabonetes,Produtos de Higiene Pessoal,43.71,8,0.0,349.68,25,4411.98
2023-01-04,Creme dental,Produtos de Higiene Pessoal,27.74,5,0.0,138.7,65,2705.36
2023-01-04,Desodorantes,Produtos de Higiene Pessoal,9.42,6,0.0,56.519999999999996,53,4844.72
2023-01-04,Papel higiênico,Produtos de Higiene Pessoal,20.52,8,0.0,164.16,59,4796.79
2023-01-04,Sorvetes,Congelados,31.06,14,0.0,434.84,54,1134.13
2023-01-04,Pizzas congeladas,Congelados,45.13,17,0.0,767.21,22,4866.87
2023-01-04,Vegetais congelados,Congelados,39.69,19,0.0,754.1099999999999,73,2184.38
2023-01-04,Pratos prontos congelados,Congelados,48.73,19,0.0,925.8699999999999,72,2184.03
2023-01-04,Frango empanado,Congelados,12.01,8,0.0,96.08,40,2297.26
2023-01-04,Ração para cães,Pet Shop,32.95,5,0.0,164.75,19,3447.85
2023-01-04,Ração para gatos,Pet Shop,43.63,10,0.0,436.3,48,3188.67
2023-01-04,Petiscos,Pet Shop,26.04,6,0.0,156.24,26,2662.04
2023-01-04,Brinquedos para pets,Pet Shop,37.9,7,0.0,265.3,20,2467.76
2023-01-04,Produtos de higiene para pets,Pet Shop,43.37,14,0.0,607.18,45,4503.71
2023-01-04,Panelas,Utilidades Domésticas,43.11,15,0.0,646.65,67,2243.5
2023-01-04,Talheres,Utilidades Domésticas,32.98,12,0.0,395.76,40,4912.2
2023-01-04,Copos,Utilidades Domésticas,2.72,12,0.0,32.64,64,2637.77
2023-01-04,"Produtos descartáveis (pratos, copos, talheres)",Utilidades Domésticas,38.33,11,0.0,421.63,55,3267.3
2023-01-05,Maçãs,Alimentos Frescos,31.92,4,0.0,127.68,71,4906.94
2023-01-05,Bananas,Alimentos Frescos,44.58,12,0.0,534.96,69,4327.7
2023-01-05,Laranjas,Alimentos Frescos,21.4,8,0.0,171.2,64,3066.81
2023-01-05,Tomates,Alimentos Frescos,46.48,10,0.0,464.79999999999995,31,1528.3
2023-01-05,Alface,Alimentos Frescos,44.12,12,0.0,529.4399999999999,19,4864.61
2023-01-05,Cenouras,Alimentos Frescos,43.77,4,0.0,175.08,21,2441.39
2023-01-05,Frango,Alimentos Frescos,4.89,10,0.0,48.9,18,3973.54
2023-01-05,Carne bovina,Alimentos Frescos,3.81,15,0.0,57.15,53,4598.86
2023-01-05,Carne suína,Alimentos Frescos,3.99,19,0.0,75.81,69,3636.3
2023-01-05,Salmão,Alimentos Frescos,22.06,12,0.0,264.71999999999997,23,4765.47
2023-01-05,Tilápia,Alimentos Frescos,18.38,14,0.0,257.32,74,3706.63
2023-01-05,Atum,Alimentos Frescos,16.35,19,0.0,310.65000000000003,67,1736.63
2023-01-05,Pão francês,Alimentos Frescos,15.89,6,0.0,95.34,54,1005.39
2023-01-05,Pão integral,Alimentos Frescos,37.15,10,0.0,371.5,61,4257.07
2023-01-05,Croissants,Alimentos Frescos,29.17,10,0.0,291.70000000000005,71,2034.37
2023-01-05,Arroz,Produtos de Mercearia,47.8,5,0.0,239.0,60,4726.38
2023-01-05,Feijão,Produtos de Mercearia,13.61,4,0.0,54.44,34,3107.39
2023-01-05,Macarrão,Produtos de Mercearia,41.66,9,0.0,374.93999999999994,62,4042.26
2023-01-05,Óleo,Produtos de Mercearia,10.69,12,0.0,128.28,47,4906.06
2023-01-05,Azeite,Produtos de Mercearia,45.73,7,0.0,320.10999999999996,59,3159.56
2023-01-05,Farinha,Produtos de Mercearia,28.24,12,0.0,338.88,43,1160.51
2023-01-05,Leite,Laticínios e Ovos,44.5,3,0.0,133.5,34,3895.81
2023-01-05,Queijo,Laticínios e Ovos,29.25,13,0.0,380.25,47,2524.68
2023-01-05,Iogurte,Laticínios e Ovos,33.14,5,0.0,165.7,46,1352.14
2023-01-05,Manteiga,Laticínios e Ovos,20.84,17,0.0,354.28,48,1190.06
2023-01-05,Ovos,Laticínios e Ovos,6.99,17,0.0,118.83,44,4300.61
2023-01-05,Refrigerantes,Bebidas,16.17,10,0.0,161.70000000000002,53,1436.77
2023-01-05,Sucos,Bebidas,32.43,16,0.0,518.88,37,3041.86
2023-01-05,Água mineral,Bebidas,11.64,5,0.0,58.2,24,2545.39
2023-01-05,Cervejas,Bebidas,1.96,13,0.0,25.48,55,4724.74
2023-01-05,Vinhos,Bebidas,10.65,16,0.0,170.4,42,4434.7
2023-01-05,Detergentes,Produtos de Limpeza,34.97,10,0.0,349.7,53,3112.01
2023-01-05,Sabão em pó,Produtos de Limpeza,16.53,18,0.0,297.54,27,4266.66
2023-01-05,Amaciantes,Produtos de Limpeza,36.15,13,0.0,469.95,41,3306.99
2023-01-05,Limpadores multiuso,Produtos de Limpeza,38.69,5,0.0,193.45,22,1811.14
2023-01-05,Esponjas,Produtos de Limpeza,48.92,10,0.0,489.20000000000005,45,2177.27
2023-01-05,Shampoos,Produtos de Higiene Pessoal,12.03,16,0.0,192.48,59,4675.62
2023-01-05,Sabonetes,Produtos de Higiene Pessoal,22.1,11,0.0,243.10000000000002,42,1620.32
2023-01-05,Creme dental,Produtos de Higiene Pessoal,14.05,3,0.0,42.150000000000006,54,3637.61
2023-01-05,Desodorantes,Produtos de Higiene Pessoal,19.57,2,0.0,39.14,52,1735.86
2023-01-05,Papel higiênico,Produtos de Higiene Pessoal,27.12,19,0.0,515.28,71,3297.79
2023-01-05,Sorvetes,Congelados,16.61,4,0.0,66.44,28,1034.35
2023-01-05,Pizzas congeladas,Congelados,36.16,14,0.0,506.23999999999995,74,1927.18
2023-01-05,Vegetais congelados,Congelados,46.71,13,0.0,607.23,70,3264.94
2023-01-05,Pratos prontos congelados,Congelados,18.62,4,0.0,74.48,43,3356.72
2023-01-05,Frango empanado,Congelados,8.96,15,0.0,134.4,29,1538.81
2023-01-05,Ração para cães,Pet Shop,33.25,11,0.0,365.75,36,4833.35
2023-01-05,Ração para gatos,Pet Shop,9.48,9,0.0,85.32000000000001,73,4171.82
2023-01-05,Petiscos,Pet Shop,30.97,10,0.0,309.7,40,3633.29
2023-01-05,Brinquedos para pets,Pet Shop,15.89,13,0.0,206.57,73,1934.43
2023-01-05,Produtos de higiene para pets,Pet Shop,41.9,3,0.0,125.69999999999999,21,2596.66
2023-01-05,Panelas,Utilidades Domésticas,36.75,15,0.0,551.25,39,1280.54
2023-01-05,Talheres,Utilidades Domésticas,37.7,5,0.0,188.5,66,4629.01
2023-01-05,Copos,Utilidades Domésticas,29.46,13,0.0,382.98,37,2712.9
2023-01-05,"Produtos descartáveis (pratos, copos, talheres)",Utilidades Domésticas,7.24,4,0.0,28.96,73,2313.17
2023-01-06,Maçãs,Alimentos Frescos,1.61,7,0.0,11.270000000000001,37,1838.84
2023-01-06,Bananas,Alimentos Frescos,20.38,6,0.0,122.28,22,3412.8
2023-01-06,Laranjas,Alimentos Frescos,38.74,2,0.0,77.48,51,4709.04
2023-01-06,Tomates,Alimentos Frescos,31.13,10,0.0,311.3,51,2958.42
2023-01-06,Alface,Alimentos Frescos,36.86,5,0.0,184.3,45,2179.4
2023-01-06,Cenouras,Alimentos Frescos,6.73,12,0.0,80.76,32,3403.71
2023-01-06,Frango,Alimentos Frescos,25.61,12,0.0,307.32,37,3766.34
2023-01-06,Carne bovina,Alimentos Frescos,21.81,17,0.0,370.77,42,3827.15
2023-01-06,Carne suína,Alimentos Frescos,46.75,4,0.0,187.0,39,3154.11
2023-01-06,Salmão,Alimentos Frescos,18.39,14,0.0,257.46000000000004,65,1441.87
2023-01-06,Tilápia,Alimentos Frescos,9.83,4,0.0,39.32,66,2720.07
2023-01-06,Atum,Alimentos Frescos,39.53,8,0.0,316.24,20,1059.38
2023-01-06,Pão francês,Alimentos Frescos,27.62,1,0.0,27.62,71,3102.14
2023-01-06,Pão integral,Alimentos Frescos,46.3,4,0.0,185.2,46,2952.8
2023-01-06,Croissants,Alimentos Frescos,42.89,11,0.0,471.79,48,4754.15
2023-01-06,Arroz,Produtos de Mercearia,34.92,10,0.0,349.20000000000005,49,3508.26
2023-01-06,Feijão,Produtos de Mercearia,43.59,14,0.0,610.26,40,3267.85
2023-01-06,Macarrão,Produtos de Mercearia,3.66,6,0.0,21.96,24,2568.89
2023-01-06,Óleo,Produtos de Mercearia,29.15,14,0.0,408.09999999999997,35,2119.44
2023-01-06,Azeite,Produtos de Mercearia,35.47,8,0.0,283.76,45,1657.9
2023-01-06,Farinha,Produtos de Mercearia,46.86,10,0.0,468.6,41,4529.92
2023-01-06,Leite,Laticínios e Ovos,33.68,18,0.0,606.24,44,4599.5
2023-01-06,Queijo,Laticínios e Ovos,31.19,10,0.0,311.90000000000003,55,2972.35
2023-01-06,Iogurte,Laticínios e Ovos,28.76,14,0.0,402.64000000000004,35,4639.44
2023-01-06,Manteiga,Laticínios e Ovos,24.38,7,0.0,170.66,38,1542.97
2023-01-06,Ovos,Laticínios e Ovos,10.98,16,0.0,175.68,34,3726.73
2023-01-06,Refrigerantes,Bebidas,24.3,4,0.0,97.2,30,4694.64
2023-01-06,Sucos,Bebidas,37.03,19,0.0,703.57,43,2702.42
2023-01-06,Água mineral,Bebidas,19.65,12,0.0,235.79999999999998,36,1716.69
2023-01-06,Cervejas,Bebidas,11.15,8,0.0,89.2,51,1164.69
2023-01-06,Vinhos,Bebidas,39.63,6,0.0,237.78000000000003,53,4814.18
2023-01-06,Detergentes,Produtos de Limpeza,29.05,1,0.0,29.05,37,4025.7
2023-01-06,Sabão em pó,Produtos de Limpeza,6.85,2,0.0,13.7,55,1808.46
